;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting Open;1;0.149662416;0.149912478;0.147536884;0.157289322;0.155913978;0.140285071;0.135533883;1;0.937859465;0.592023006;0.551512878;0.481495374;0.736934234;0.41947987;1;0.602650663;0.550762691;0.478744686;0.741685421;0.417354339;1;0.402350588;0.35983996;0.578269567;0.326206552;1;0.706926732;0.561265316;0.542260565;1;0.490872718;0.555013753;1;0.471867967;1;27.5855;17.5517;13.3741;13.4667
0;S3;Resting Open;1;0.154163541;0.134533633;0.137284321;0.139284821;0.138034509;0.118779695;0.133033258;1;0.49299825;0.405726432;0.528382096;0.304576144;0.372468117;0.461740435;1;0.428857214;0.369217304;0.231557889;0.360965241;0.345211303;1;0.279194799;0.189672418;0.307451863;0.257939485;1;0.356964241;0.298574644;0.505376344;1;0.201675419;0.326206552;1;0.34796199;1;2.13519;-0.933633;1.59857;0.63643
0;S6;Resting Open;1;0.114153538;0.102900725;0.092023006;0.125906477;0.137659415;0.103150788;0.110402601;1;0.509627407;0.286446612;0.437109277;0.293448362;0.409602401;0.423980995;1;0.354713678;0.356339085;0.254938735;0.455363841;0.353213303;1;0.224056014;0.173043261;0.34396099;0.219054764;1;0.438109527;0.303700925;0.491872968;1;0.238809702;0.379219805;1;0.347586897;1;0.692103;-0.588643;1.66035;0.012488
0;S7;Resting Open;1;0.113153288;0.116904226;0.116404101;0.11227807;0.104901225;0.103900975;0.090272568;1;0.529757439;0.489497374;0.515628907;0.351837959;0.449237309;0.43335834;1;0.592648162;0.36084021;0.253688422;0.454488622;0.319579895;1;0.334708677;0.245686422;0.427856964;0.285571393;1;0.481495374;0.335208802;0.473368342;1;0.249812453;0.427731933;1;0.351712928;1;8.1294;4.23665;3.88598;3.42178
0;S10;Resting Open;1;0.103275819;0.096899225;0.095273818;0.105526382;0.112778195;0.1004001;0.10340085;1;0.653663416;0.469242311;0.572393098;0.366466617;0.525381345;0.553888472;1;0.685296324;0.387971993;0.271192798;0.656789197;0.389847462;1;0.29619905;0.221180295;0.555513878;0.293698425;1;0.577269317;0.333708427;0.722305576;1;0.239059765;0.494248562;1;0.34496124;1;12.0162;10.2684;9.78266;6.5003
0;S13;Resting Open;1;0.147036759;0.13215804;0.123780945;0.13915979;0.137284321;0.123405851;0.126156539;1;0.520005001;0.403225806;0.574643661;0.418104526;0.397849462;0.501250313;1;0.605151288;0.403975994;0.300700175;0.494373593;0.37471868;1;0.323830958;0.256564141;0.442735684;0.3012003;1;0.561890473;0.360215054;0.655913978;1;0.2971993;0.548637159;1;0.395973993;1;12.135;6.34284;8.52364;5.66441
0;S14;Resting Open;1;0.128407102;0.122780695;0.106276569;0.12428107;0.138534634;0.102525631;0.115028757;1;0.351587897;0.197674419;0.35483871;0.292948237;0.319954989;0.350087522;1;0.311702926;0.295948987;0.235933983;0.373218305;0.284446112;1;0.161540385;0.147286822;0.204551138;0.16204051;1;0.312828207;0.261940485;0.341460365;1;0.21467867;0.304076019;1;0.308327082;1;-7.44564;-6.98948;-3.95254;-4.34194
0;S15;Resting Open;1;0.11527882;0.113153288;0.127031758;0.123780945;0.125031258;0.089522381;0.087021755;1;0.594273568;0.425356339;0.6004001;0.327456864;0.431357839;0.323205801;1;0.568642161;0.385971493;0.251687922;0.415353838;0.231432858;1;0.285946487;0.205926482;0.382470618;0.190422606;1;0.498499625;0.339084771;0.395473868;1;0.22068017;0.298324581;1;0.368717179;1;3.34694;1.66932;0.203897;2.66773
0;S16;Resting Open;1;0.126656664;0.114403601;0.117904476;0.132908227;0.139409852;0.110152538;0.111277819;1;0.453363341;0.402225556;0.431982996;0.319704926;0.363215804;0.342835709;1;0.440735184;0.340585146;0.246186547;0.381595399;0.290947737;1;0.316829207;0.24656164;0.369217304;0.263315829;1;0.404476119;0.307701925;0.3975994;1;0.231932983;0.301575394;1;0.313203301;1;2.11312;-0.872213;-0.549251;-0.306087
0;S18;Resting Open;1;0.185046262;0.183295824;0.161415354;0.182420605;0.176294074;0.13715929;0.135908977;1;0.672793198;0.477619405;0.571892973;0.419729932;0.488872218;0.399224806;1;0.639784946;0.49299825;0.349837459;0.531632908;0.331082771;1;0.361215304;0.26044011;0.480495124;0.246061515;1;0.595148787;0.375843961;0.457364341;1;0.286196549;0.462990748;1;0.358339585;1;13.0493;7.77246;6.02525;6.91601
