;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S1;Resting Open;1;0.170417604;0.155288822;0.158289572;0.154913728;0.202925731;0.147536884;0.171417854;1;0.493123281;0.369717429;0.400850213;0.414853713;0.483245811;0.499124781;1;0.539384846;0.309827457;0.322955739;0.557889472;0.395223806;1;0.245686422;0.273693423;0.451112778;0.302450613;1;0.423730933;0.321830458;0.48612153;1;0.328582146;0.535383846;1;0.467741935;1;9.70482;4.83119;5.68492;6.41664
0;S2;Resting Open;1;0.129782446;0.129532383;0.120030008;0.146036509;0.15703926;0.127656914;0.136409102;1;0.940235059;0.581020255;0.569892473;0.449737434;0.702425606;0.424106027;1;0.593898475;0.562265566;0.44436109;0.709052263;0.420105026;1;0.400850213;0.321705426;0.546511628;0.30420105;1;0.729182296;0.569767442;0.603900975;1;0.451737934;0.575393848;1;0.469867467;1;24.7355;18.2549;16.3359;12.6801
0;S3;Resting Open;1;0.142910728;0.139534884;0.134783696;0.149662416;0.143535884;0.118529632;0.135033758;1;0.470867717;0.386221555;0.544511128;0.326206552;0.404351088;0.458489622;1;0.405476369;0.354713678;0.243435859;0.372468117;0.322955739;1;0.284196049;0.201050263;0.329082271;0.26744186;1;0.374468617;0.328457114;0.499874969;1;0.216179045;0.354213553;1;0.347836959;1;2.85443;1.03401;-0.280472;1.91329
0;S5;Resting Open;1;0.122030508;0.123905976;0.136284071;0.124531133;0.125656414;0.112403101;0.118154539;1;0.535508877;0.341710428;0.495248812;0.391847962;0.467366842;0.410227557;1;0.474993748;0.352963241;0.312703176;0.478369592;0.284571143;1;0.245436359;0.231432858;0.390972743;0.21567892;1;0.47711928;0.32308077;0.42048012;1;0.28332083;0.386971743;1;0.314578645;1;3.77825;2.94159;1.7783;2.10989
0;S6;Resting Open;1;0.101650413;0.091897974;0.081770443;0.111777944;0.111777944;0.086396599;0.104151038;1;0.441610403;0.240685171;0.401225306;0.187171793;0.282070518;0.304576144;1;0.32208052;0.301700425;0.166666667;0.345586397;0.260315079;1;0.190797699;0.121655414;0.25743936;0.185546387;1;0.249687422;0.244061015;0.331082771;1;0.168917229;0.368092023;1;0.281695424;1;-8.72683;-6.9691;-6.96914;-5.0052
0;S7;Resting Open;1;0.131907977;0.116029007;0.110402601;0.139284821;0.144661165;0.094773693;0.120780195;1;0.598899725;0.546886722;0.586896724;0.41647912;0.471117779;0.496374094;1;0.647411853;0.460865216;0.32508127;0.486496624;0.423605901;1;0.411102776;0.290447612;0.500250063;0.380970243;1;0.577144286;0.397474369;0.55563891;1;0.308077019;0.496874219;1;0.444861215;1;17.5407;11.0045;9.48379;9.1281
0;S10;Resting Open;1;0.106151538;0.10540135;0.101150288;0.111277819;0.125156289;0.095648912;0.105026257;1;0.666916729;0.493248312;0.587896974;0.399224806;0.571892973;0.565891473;1;0.708552138;0.404976244;0.299074769;0.718804701;0.412603151;1;0.309452363;0.242685671;0.618779695;0.311577894;1;0.602025506;0.363590898;0.712178045;1;0.263940985;0.524006002;1;0.377594399;1;14.7233;10.981;13.1971;10.987
0;S13;Resting Open;1;0.158414604;0.151912978;0.139034759;0.153788447;0.151912978;0.13315829;0.14316079;1;0.557764441;0.423855964;0.552888222;0.374343586;0.41347837;0.486871718;1;0.621155289;0.407101775;0.287071768;0.490247562;0.368217054;1;0.319454864;0.232308077;0.438609652;0.288197049;1;0.539884971;0.361215304;0.642410603;1;0.279944986;0.52488122;1;0.409227307;1;10.5323;7.25625;6.38915;7.25642
0;S14;Resting Open;1;0.134283571;0.133033258;0.108027007;0.13515879;0.148162041;0.11327832;0.117904476;1;0.388972243;0.224056014;0.425731433;0.330832708;0.329582396;0.386971743;1;0.355213803;0.318829707;0.258939735;0.397224306;0.292698175;1;0.189047262;0.162290573;0.243685921;0.172293073;1;0.462990748;0.262565641;0.411852963;1;0.216804201;0.345086272;1;0.30420105;1;-4.15508;-3.07246;-4.66575;-1.36153
0;S15;Resting Open;1;0.113903476;0.103650913;0.110652663;0.118404601;0.110152538;0.09539885;0.092148037;1;0.577394349;0.425856464;0.58452113;0.335708927;0.436984246;0.353463366;1;0.570142536;0.372093023;0.240935234;0.399974994;0.248312078;1;0.283695924;0.198174544;0.383470868;0.213428357;1;0.52788197;0.32708177;0.420730183;1;0.224806202;0.345711428;1;0.357214304;1;3.34539;3.56801;1.6463;0.98769
