;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1;Delta_2;Theta_2;Beta_2
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;-7.18667;-7.38637;13.0301;-4.1729;-5.33057;-5.24448;-3.27644
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-3.46867;-3.83081;6.89947;-1.66616;-2.69544;-2.80651;-1.37327
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-3.13045;2.1904;-0.369646;3.61872;-2.38396;1.61308;3.12079
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;-4.3049;0.40776;6.59838;-3.20333;-3.34519;0.277542;-2.13377
S21;Resting;0.021643268;0.036961362;0.028339;0.02929007;0.021345501;0.044838794;0.028931028;0.03222966;0.02134602;0.044451181;0.03531313;0.037532353;0.023075397;0.03537693;0.034141181;0.032273828;0.023787837;0.037548532;0.032360473;0.029732584;0.018125362;0.034255373;0.023136259;0.022693951;0.018928604;0.02965891;0.023950734;0.023594594;-1.91632;3.20815;-2.48374;1.53194;-1.59815;1.94188;0.972329
S23;Resting;0.011276084;0.010652038;0.092593249;0.01426347;0.011137001;0.010340885;0.093732227;0.01355194;0.010530895;0.010764072;0.100329458;0.013033326;0.011780861;0.010867333;0.101482471;0.016960395;0.011231385;0.010145445;0.110249699;0.014372796;0.009780741;0.009702789;0.086980801;0.009769245;0.010058854;0.010434363;0.107569581;0.010931861;-5.1978;-7.67139;12.7592;-5.00488;-3.88804;-5.31203;-4.14838
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-6.11889;-8.60602;15.3689;-7.54327;-4.49131;-6.00862;-5.6447
S1;Image right;0.045661663;0.044326734;0.019122899;0.020913054;0.042235404;0.040920402;0.018440622;0.019571867;0.039360009;0.036793906;0.015650468;0.018059029;0.046967639;0.045211941;0.019982233;0.022701943;0.046227925;0.044860476;0.018841497;0.023218083;0.03129657;0.030519316;0.014105172;0.01599877;0.035863009;0.033226343;0.015891557;0.0172777;4.47855;3.92456;-5.14826;-2.41416;2.76933;2.0561;-2.16385
S2;Image right;0.053779627;0.036652756;0.017163674;0.023590744;0.054158762;0.036614707;0.017278641;0.024022679;0.052782995;0.035877522;0.018120235;0.029229795;0.052677208;0.0365979;0.015730682;0.019933342;0.052299789;0.034566894;0.016028514;0.019874574;0.04583524;0.033486542;0.015571977;0.019407397;0.042959458;0.031575753;0.014173351;0.01499612;7.50528;2.07476;-5.40741;-1.63644;5.13546;1.33961;-1.21116
S3;Image right;0.052870819;0.034886192;0.012365209;0.02649239;0.0531265;0.035302729;0.013101369;0.028653927;0.049718346;0.03377664;0.012812049;0.030050077;0.048948186;0.033171051;0.011866755;0.024477728;0.047325341;0.032330892;0.011366932;0.024248956;0.041465512;0.028349822;0.010274701;0.020816332;0.038625288;0.027314832;0.010117929;0.019223833;6.57788;1.00195;-6.42469;-0.312464;4.39629;0.45556;-0.349374
S5;Image right;0.044262353;0.03513068;0.029125965;0.015102072;0.048247718;0.037127516;0.032340012;0.016078329;0.045136317;0.035214848;0.035301023;0.016507997;0.044121412;0.0358326;0.027913966;0.015302948;0.044824559;0.033956834;0.026175234;0.015430155;0.039301384;0.027955933;0.030510476;0.013304613;0.040879491;0.029129171;0.024526289;0.014205701;5.18905;1.49291;-2.49228;-4.41014;3.63304;0.754105;-3.32432
S7;Image right;0.05057521;0.052791929;0.014505794;0.013255959;0.049626967;0.053886543;0.014948493;0.013998886;0.049160745;0.053835185;0.015125657;0.014465347;0.0509285;0.05140136;0.014219764;0.012877365;0.046792916;0.049811426;0.014453894;0.01296928;0.037979777;0.042803744;0.012418676;0.011180355;0.038056984;0.041977868;0.012490871;0.010394567;6.14803;7.80913;-5.91457;-5.28031;4.05851;5.11894;-4.10561
S10;Image right;0.042209089;0.044483215;0.015632041;0.016603248;0.041000838;0.042720199;0.014432933;0.015682585;0.040164009;0.042152112;0.013604018;0.015523011;0.043165966;0.046475547;0.015838152;0.019395569;0.047990304;0.048400538;0.016614814;0.024210051;0.04039575;0.040280625;0.013859397;0.014521872;0.037509185;0.040687936;0.014241468;0.015481711;4.57885;5.34822;-5.72935;-3.39849;3.07732;3.48478;-2.93017
S11;Image right;0.048752873;0.038414784;0.01510766;0.020673597;0.052213926;0.040027911;0.019326064;0.030581185;0.05138757;0.038330325;0.016660818;0.027536435;0.049821156;0.039257903;0.015613874;0.024046712;0.04964197;0.037277337;0.014618101;0.025817395;0.045729518;0.032754134;0.012116816;0.014944844;0.044210724;0.033710408;0.012183775;0.015068304;6.79672;2.85749;-5.66617;-1.0282;4.80345;1.80829;-1.53127
S13;Image right;0.040248552;0.03444583;0.015292124;0.033855304;0.036313638;0.033368877;0.016141361;0.035902319;0.037058969;0.033733582;0.018638321;0.046660628;0.038095258;0.032351462;0.014671739;0.030704584;0.036302447;0.031174582;0.01394664;0.046461936;0.029905579;0.025499827;0.011168701;0.024398374;0.033289192;0.027757441;0.012156744;0.025802081;2.66315;0.498305;-5.78295;3.65289;1.85395;0.226846;2.33892
S14;Image right;0.027066026;0.023466497;0.038035176;0.036793382;0.026408736;0.023598313;0.050227503;0.052801429;0.028433912;0.025759029;0.04520512;0.053083398;0.030363537;0.025751285;0.043971471;0.04508331;0.029672766;0.025622594;0.045667834;0.0525134;0.022999933;0.020571806;0.025906011;0.022752943;0.022799221;0.020583637;0.024119368;0.021458985;-0.0915391;-2.42863;-0.305561;6.70421;-0.332693;-1.86092;3.18742
S15;Image right;0.03258437;0.049169195;0.018585219;0.02180814;0.035661572;0.052856537;0.020530316;0.025139164;0.036984686;0.053160234;0.022023121;0.032886198;0.031086105;0.047192728;0.018338794;0.021676863;0.027719249;0.043020174;0.019100942;0.021517385;0.024108088;0.036829141;0.018213539;0.017543706;0.022686087;0.034081969;0.01811514;0.01734799;1.06604;6.30377;-4.76412;-1.41528;0.491444;3.90931;-1.03017
S16;Image right;0.046965798;0.040075168;0.011399836;0.020984532;0.04860062;0.040380853;0.011566375;0.023643805;0.061275484;0.042517346;0.013708896;0.029475667;0.050990605;0.041428245;0.011670849;0.021977953;0.051266606;0.041082557;0.012530331;0.032165886;0.031779639;0.028881703;0.008983502;0.016916536;0.039480943;0.032298851;0.010056746;0.017646626;6.24691;3.25819;-6.49699;-1.0251;4.23663;1.90646;-1.18811
S18;Image right;0.027565823;0.034523203;0.025015814;0.038482469;0.027648603;0.035783939;0.027138139;0.043883741;0.025856973;0.036482879;0.029607797;0.052797414;0.025949773;0.033715382;0.024359349;0.04172731;0.025101823;0.034189006;0.024462365;0.040469177;0.023599371;0.030923758;0.024496385;0.028007585;0.020976005;0.028012403;0.020335265;0.024466173;-0.549687;1.47226;-3.45879;5.45525;-0.601685;0.822968;3.4655
S19;Image right;0.028210961;0.039339965;0.028610582;0.021315741;0.029534649;0.04073516;0.0304667;0.023847032;0.028647405;0.040803413;0.033291536;0.035678729;0.027872397;0.037881257;0.028641506;0.020686498;0.030658319;0.038747975;0.033827937;0.024032327;0.022125848;0.037425093;0.033214143;0.023381678;0.020239167;0.029682469;0.026244493;0.01905998;-0.000759805;3.36306;-2.26011;-0.938787;-0.433485;2.00563;-0.287647
S21;Image right;0.040199803;0.04249377;0.0188859;0.020512264;0.042626577;0.045341421;0.019838381;0.023165845;0.042965562;0.043718893;0.019784214;0.02600122;0.038471779;0.042690551;0.017747247;0.019070241;0.036383128;0.039659234;0.016072338;0.02245715;0.029086038;0.033499095;0.013978709;0.015496143;0.029557246;0.033621652;0.01340615;0.015631425;3.2345;4.173;-5.20681;-2.20235;2.01624;2.5532;-1.86241
S23;Image right;0.049829918;0.033049388;0.01916999;0.026220719;0.049253448;0.032720657;0.018607631;0.024617037;0.047575834;0.031579644;0.018678075;0.025292019;0.050524486;0.033088311;0.020934155;0.033820721;0.046941961;0.031162717;0.02070306;0.042138327;0.042250848;0.028271241;0.015940365;0.015974772;0.044790722;0.029947845;0.018635418;0.020273289;6.271;0.543552;-4.83186;0.726602;4.48288;0.337259;-0.69787
S24;Image right;0.028593506;0.035725318;0.019600143;0.042401586;0.027615943;0.03632232;0.020788637;0.045772;0.028359153;0.036543664;0.017854254;0.040366841;0.030358415;0.038558237;0.029167597;0.075554754;0.031025925;0.038092779;0.024496104;0.06319292;0.022983849;0.02769095;0.012920252;0.019899481;0.026633352;0.032202358;0.017176626;0.02759468;0.139078;1.96998;-4.51135;8.79611;-0.0471461;1.11396;3.36986
2S1;Resting Open;0.019572718;0.02259626;0.015029844;0.038346311;0.021710677;0.02401542;0.015834651;0.043255094;0.024777;0.022476813;0.015513963;0.047974139;0.019062486;0.01873156;0.014929812;0.041725606;0.020000897;0.016331431;0.015716479;0.052161674;0.028357367;0.032484527;0.018658288;0.051012134;0.027796415;0.029842598;0.019741887;0.054154546;2.26447;1.46723;-5.59543;5.10737;;;
2S3;Resting Open;0.016261565;0.03968091;0.025426589;0.022924665;0.015643973;0.040798405;0.028584242;0.021728668;0.014027833;0.045198106;0.034912186;0.02212278;0.015114246;0.033928588;0.023813663;0.019670804;0.008970794;0.024964876;0.019252819;0.015168513;0.021728453;0.058645386;0.048921461;0.030996405;0.015078254;0.037229167;0.039597608;0.025505959;-2.15899;13.3945;-2.44202;-4.68437;;;
2S4;Resting Open;0.050538148;0.04387738;0.024410873;0.022009018;0.047118123;0.040204132;0.030347824;0.024019146;0.051890985;0.046322493;0.037856357;0.032198815;0.020675912;0.019046332;0.024285282;0.018214695;0.016731099;0.013869637;0.021738268;0.017686692;0.044402373;0.035489013;0.032398449;0.025371613;0.028351405;0.020614388;0.031794378;0.023502174;9.83371;6.6217;-2.87922;-4.51376;;;
2S5;Resting Open;0.014422568;0.017188746;0.032576136;0.023591448;0.016359863;0.018792821;0.043997767;0.026000345;0.019390082;0.019931725;0.072438104;0.033732714;0.014800084;0.016776299;0.054319675;0.027404351;0.014551804;0.014682114;0.089808252;0.028752084;0.023576878;0.022598818;0.026884476;0.023924841;0.018617914;0.018065024;0.034948576;0.022117843;-0.975404;-2.57364;1.86262;-3.41508;;;
2S6;Resting Open;0.010218472;0.022478012;0.031296361;0.038283584;0.010508049;0.021569327;0.036703965;0.04027116;0.010884776;0.021205784;0.046491504;0.046600149;0.024276406;0.034979142;0.03802692;0.05922471;0.010653172;0.017708262;0.045925425;0.043052939;0.010780806;0.022538972;0.042314672;0.041596607;0.011178303;0.02188872;0.050765362;0.04208634;-3.34684;1.53709;-0.171078;3.86515;;;
2S7;Resting Open;0.036221442;0.024156171;0.019443639;0.02868943;0.028324914;0.02640778;0.021960513;0.03396341;0.037344951;0.026029481;0.023846608;0.038617271;0.043269814;0.022830999;0.016586124;0.024295382;0.032377138;0.017876597;0.012292658;0.018918265;0.056395677;0.034154551;0.021661352;0.029171954;0.042441477;0.02761276;0.017796177;0.023154547;11.4879;2.84139;-4.9578;-2.52853;;;
2S8;Resting Open;0.015073984;0.029521155;0.033509154;0.033198812;0.017245567;0.030352778;0.036776199;0.036099118;0.017372552;0.030020705;0.037060157;0.037167365;0.012653329;0.026333345;0.029649726;0.031814724;0.011742774;0.024390469;0.02664584;0.033951464;0.021555256;0.039108272;0.04447123;0.036787612;0.017662904;0.038861291;0.033459946;0.031536158;-1.65145;7.29932;-1.54584;-0.0448805;;;
2S9;Resting Open;0.013544722;0.015839695;0.031215615;0.045268263;0.012397529;0.01608967;0.034236373;0.052248057;0.013030271;0.016826215;0.030783648;0.052728472;0.014215161;0.01735127;0.043415307;0.045093437;0.009193004;0.012204863;0.026097509;0.036628503;0.015334667;0.021992558;0.044128922;0.059397806;0.013749545;0.019094315;0.052544616;0.047873432;-3.30783;-3.52624;-0.905389;5.94063;;;
2S10;Resting Open;0.004764411;0.008070747;0.0819907;0.01000202;0.005161523;0.008369977;0.092145221;0.011625084;0.004991264;0.008595427;0.084510666;0.010780328;0.004701669;0.008452676;0.094577605;0.010836483;0.005021386;0.010213419;0.090092608;0.012456748;0.007360845;0.013675796;0.11108972;0.012820084;0.006390823;0.012896137;0.148895004;0.014632284;-7.61693;-8.76435;12.8404;-9.24081;;;
2S11;Resting Open;0.031037664;0.021963379;0.009985337;0.023493716;0.031825908;0.02380577;0.012101425;0.029384731;0.033163255;0.025564598;0.013265228;0.033605972;0.027544667;0.020538294;0.010103149;0.021357642;0.031079578;0.021285317;0.011834217;0.02924677;0.041211451;0.034153105;0.016482014;0.031631447;0.037339241;0.028687061;0.01569029;0.02913977;8.05606;2.60832;-6.47962;-2.51968;;;
2S12;Resting Open;0.017282018;0.019439632;0.027637907;0.031915685;0.018297573;0.021175424;0.031773328;0.033919017;0.015521301;0.019301599;0.032614075;0.038189267;0.017210684;0.01958111;0.031919775;0.035808093;0.018386154;0.019803075;0.027023308;0.055268959;0.023537212;0.024059487;0.032669902;0.026991843;0.022048538;0.024077945;0.028672697;0.028576887;-0.0108907;-0.230732;-2.43645;0.150395;;;
2S13;Resting Open;0.028271141;0.026132118;0.028182309;0.031646598;0.032149265;0.030446587;0.036630845;0.040288416;0.032193945;0.032934804;0.034904741;0.040716962;0.024739215;0.023226324;0.028013867;0.033281433;0.02135303;0.020270649;0.040493211;0.046411998;0.033051522;0.030436862;0.03502497;0.037448109;0.02963954;0.025346413;0.029964674;0.032403324;5.48991;3.9781;-1.86949;1.06933;;;
2S1;Resting;0.0095048;0.013388345;0.023730115;0.052762467;0.010618192;0.014375138;0.028734727;0.058661413;0.012375611;0.017174891;0.028170596;0.065208764;0.008709237;0.012615887;0.023903141;0.054926087;0.007770837;0.014546873;0.02646135;0.069053086;0.013880204;0.018647268;0.034106151;0.072577332;0.013125448;0.017654987;0.030958361;0.075909372;-4.6173;-4.63074;-3.07898;12.2421;;;
2S3;Resting;0.007764093;0.012516312;0.062456801;0.020256504;0.007107789;0.013438782;0.080843657;0.019115293;0.00682464;0.015206905;0.106298154;0.019475413;0.006194634;0.010245765;0.05496638;0.017310072;0.004973527;0.008263834;0.05034668;0.014521704;0.009329592;0.017740179;0.125151647;0.029049942;0.008055437;0.012714694;0.079635916;0.026803619;-6.66849;-6.85621;8.00885;-5.35057;;;
2S4;Resting;0.023255999;0.020054514;0.045923214;0.015566957;0.025120391;0.021801345;0.060502225;0.019014492;0.029626633;0.027082951;0.104121653;0.027475515;0.010842441;0.013123763;0.051155568;0.012579903;0.012549161;0.011994349;0.06832387;0.013997385;0.022604812;0.01935942;0.09215899;0.022920847;0.015940931;0.014529308;0.077165768;0.01837786;0.389263;-2.77578;5.89222;-6.45181;;;
